leave_days,leave_balance,performance_score,absence_count,job_level,years_of_experience,salary_grade,overtime_hours,approved
5,17,0.31,1,mid,3,C,2,1
4,11,0.81,2,mid,13,B,29,1
15,20,0.63,7,lead,8,B,40,0
8,2,0.48,1,junior,25,A,40,0
4,26,0.53,4,mid,28,D,15,1
2,28,0.51,3,junior,19,D,56,1
9,27,0.78,4,mid,14,C,3,1
7,28,0.48,5,junior,6,C,56,0
15,28,0.68,8,junior,18,D,60,1
6,10,0.61,3,senior,18,B,16,1
1,5,0.41,0,junior,25,D,21,1
9,23,0.88,7,junior,22,C,18,0
7,26,0.45,8,senior,17,E,17,0
8,9,0.33,6,mid,14,E,28,0
11,11,0.5,8,mid,25,D,19,0
14,6,0.82,9,mid,1,D,41,1
11,11,0.5,7,manager,18,E,35,0
3,27,0.45,8,manager,2,D,8,0
2,26,0.41,1,mid,4,E,46,0
13,21,0.43,3,senior,23,B,58,1
4,4,0.93,1,junior,21,C,46,1
2,21,0.79,9,mid,21,E,59,1
11,23,0.63,5,senior,10,B,30,1
1,24,0.73,9,manager,14,D,3,0
4,23,0.35,4,mid,24,A,8,1
15,21,0.49,4,lead,15,E,32,0
14,21,0.78,9,manager,26,C,60,1
7,18,0.91,10,lead,26,C,36,0
15,21,0.64,0,lead,25,A,21,1
7,10,0.72,6,mid,9,B,22,1
2,23,0.31,3,manager,5,A,23,1
12,17,0.92,3,junior,20,E,37,1
8,1,0.77,10,lead,25,D,18,0
8,22,0.45,5,senior,28,C,37,0
14,19,0.73,6,junior,30,A,29,1
13,13,0.85,9,lead,19,C,44,1
6,24,0.9,6,lead,4,D,48,1
12,12,0.7,8,mid,24,B,14,0
11,3,0.39,2,lead,15,A,6,0
3,24,0.63,7,mid,3,C,51,1
2,13,0.64,1,mid,8,B,42,1
5,10,0.57,9,lead,2,E,25,0
14,2,0.77,2,mid,24,D,51,1
7,7,0.59,9,senior,9,A,31,1
6,3,0.9,8,senior,30,E,54,1
2,29,0.5,8,mid,7,D,44,0
3,25,0.4,10,lead,16,C,33,0
4,2,0.51,8,lead,13,B,19,0
13,21,0.86,6,manager,4,C,19,1
13,28,0.36,5,manager,7,D,0,0
3,27,0.63,10,senior,22,E,48,1
1,27,0.75,2,lead,28,A,35,1
4,30,0.6,1,lead,5,B,39,0
8,12,0.51,6,junior,18,C,47,0
5,27,0.74,6,mid,22,E,51,1
3,7,0.55,9,junior,7,A,39,1
14,8,0.87,7,junior,19,E,44,1
13,5,0.8,1,manager,16,D,7,0
9,24,0.55,9,lead,24,E,24,0
1,24,0.45,9,manager,3,D,46,0
10,12,0.66,6,mid,3,B,55,1
9,8,0.39,8,junior,2,A,41,0
4,8,0.66,0,lead,19,E,2,0
5,7,0.81,4,manager,1,A,26,1
8,20,0.62,9,lead,30,D,48,1
10,15,0.86,8,lead,19,A,21,1
12,8,0.82,4,senior,9,C,21,0
8,27,0.88,6,manager,27,C,60,1
2,27,0.8,3,senior,5,D,58,1
4,30,0.65,10,mid,11,E,17,0
15,6,0.31,5,manager,3,E,29,0
3,9,0.48,6,senior,24,D,32,0
6,10,0.42,8,junior,18,D,31,0
2,29,0.51,0,lead,30,D,33,1
5,8,0.37,10,mid,20,E,31,0
12,21,0.8,10,lead,3,D,5,0
9,25,0.66,0,manager,2,C,24,0
3,19,0.79,8,junior,3,E,44,1
10,24,0.43,10,lead,17,B,11,0
6,28,0.56,3,mid,30,B,4,0
8,25,0.42,6,lead,17,A,23,1
5,8,0.48,10,senior,2,B,47,0
4,4,0.45,6,mid,9,A,58,1
2,4,0.6,5,lead,24,A,17,1
10,16,0.52,4,lead,25,D,24,0
10,11,0.4,9,senior,2,D,48,0
1,7,0.34,5,junior,27,B,33,0
3,26,0.64,9,mid,15,C,53,1
4,14,0.35,4,junior,19,A,15,1
6,28,0.78,2,manager,5,D,16,1
2,4,0.93,2,senior,30,B,17,1
10,15,0.69,1,mid,30,C,46,1
1,7,0.84,1,mid,13,D,56,1
9,23,0.56,7,senior,28,E,38,0
9,23,0.63,6,lead,16,D,14,0
12,12,0.78,4,lead,1,D,52,1
1,2,0.7,3,junior,3,C,5,1
10,16,0.74,6,lead,16,E,24,1
15,27,0.62,5,junior,4,B,59,1
5,10,0.56,7,junior,30,A,54,1
9,11,0.56,2,lead,24,E,39,0
13,13,0.52,1,lead,18,E,7,1
14,27,0.38,4,junior,14,A,27,1
10,16,0.53,0,mid,2,C,47,0
4,0,0.56,5,mid,27,E,60,0
2,15,0.33,8,lead,28,E,59,0
15,26,0.63,5,senior,9,D,41,1
10,20,0.37,10,senior,7,C,43,0
4,4,0.95,6,lead,20,A,19,1
3,15,0.34,7,senior,25,C,8,0
1,2,0.73,2,mid,16,C,14,1
13,26,0.56,9,junior,28,E,26,0
8,19,0.32,10,mid,22,A,45,1
7,26,0.71,10,junior,12,C,41,1
3,12,0.93,6,manager,12,B,30,1
8,3,0.54,4,mid,20,E,18,0
5,6,0.62,3,senior,26,C,5,1
1,30,0.83,8,junior,29,D,11,0
5,23,0.35,5,manager,9,D,13,1
3,8,0.37,4,junior,17,C,14,0
9,12,0.37,9,junior,13,C,17,0
5,14,0.6,0,senior,23,D,0,1
15,8,0.71,6,manager,12,D,50,1
13,6,0.33,9,mid,2,A,37,0
5,20,0.39,7,mid,1,C,13,0
8,28,0.77,8,junior,10,A,56,1
12,18,0.53,6,manager,16,A,48,1
13,2,0.35,3,lead,7,D,52,0
9,14,0.58,5,mid,8,B,0,1
2,25,0.75,8,manager,12,C,51,1
1,11,0.68,3,junior,11,B,11,1
5,5,0.3,7,mid,6,E,18,0
2,23,0.5,2,lead,14,E,58,1
8,2,0.64,0,lead,1,B,19,0
7,10,0.49,7,manager,7,C,6,0
7,16,0.65,3,lead,19,D,2,1
15,3,0.39,2,senior,15,B,54,0
6,9,0.36,4,manager,24,B,43,1
9,3,0.54,4,lead,23,B,49,0
2,23,0.4,7,manager,11,B,53,0
14,13,0.8,3,senior,8,C,20,0
13,3,0.42,10,manager,7,D,27,0
14,20,0.91,1,mid,20,C,1,1
6,12,0.77,10,manager,29,D,9,0
8,5,0.57,4,lead,21,D,34,0
3,7,0.58,3,lead,5,C,12,0
8,0,0.49,6,lead,25,E,52,0
10,6,0.53,10,manager,4,A,37,0
8,19,0.78,9,mid,30,B,32,0
13,4,0.72,3,junior,17,E,0,0
1,0,0.69,2,senior,4,B,40,0
10,29,0.51,8,junior,25,C,48,0
8,19,0.51,5,manager,21,B,28,1
11,3,0.37,4,mid,22,E,12,0
8,3,0.9,8,lead,8,C,46,1
9,21,0.7,7,senior,20,B,23,0
9,24,0.59,6,manager,8,C,10,0
14,0,0.41,5,senior,24,D,45,0
10,0,0.9,5,manager,3,B,35,0
12,7,0.48,8,mid,26,C,48,0
9,4,0.9,9,lead,25,B,60,1
1,5,0.54,4,mid,7,D,7,0
7,22,0.63,5,senior,21,C,36,1
5,30,0.49,3,senior,26,D,2,0
1,21,0.56,6,manager,16,C,58,0
4,14,0.37,4,lead,21,A,58,1
3,26,0.87,10,manager,23,D,15,0
2,11,0.8,7,manager,28,E,58,1
11,8,0.51,3,lead,10,D,24,0
8,25,0.75,9,senior,11,B,45,1
9,23,0.76,3,senior,13,E,57,1
4,13,0.54,1,senior,2,D,40,0
2,27,0.53,8,manager,10,C,19,0
5,27,0.49,5,mid,11,A,31,1
4,22,0.86,7,lead,16,B,11,0
7,19,0.73,3,mid,5,E,41,1
12,12,0.88,0,junior,13,D,60,1
3,16,0.82,2,senior,28,E,56,1
9,3,0.43,0,manager,18,A,8,0
2,19,0.89,3,manager,21,C,11,1
14,20,0.37,0,junior,6,E,42,0
7,20,0.56,0,lead,21,B,44,0
8,27,0.85,7,mid,11,E,43,1
8,19,0.79,5,senior,16,E,52,1
3,3,0.42,9,manager,26,D,56,0
1,1,0.48,4,senior,7,C,35,1
9,28,0.41,10,junior,24,B,25,0
15,15,0.91,6,manager,21,E,33,1
12,16,0.74,10,senior,4,A,55,1
9,13,0.43,9,senior,20,A,1,1
10,24,0.47,6,mid,23,A,4,1
10,6,0.87,0,manager,7,C,22,0
11,16,0.64,3,junior,15,D,35,1
14,16,0.65,0,mid,4,E,37,0
3,24,0.3,1,junior,25,C,28,0
12,13,0.43,6,senior,8,A,54,1
9,27,0.78,9,manager,23,B,43,1
8,23,0.71,8,senior,17,A,50,1
2,26,0.69,6,manager,14,A,51,1
7,0,0.62,8,mid,25,C,9,0
8,26,0.39,7,junior,8,B,10,0
2,3,0.43,5,lead,8,E,24,1
4,30,0.94,2,mid,9,A,53,1
11,24,0.93,0,mid,12,D,4,1
14,12,0.52,5,mid,28,D,40,0
4,28,0.5,0,manager,20,C,3,1
7,3,0.54,1,mid,17,B,30,0
2,11,0.87,0,lead,13,D,57,1
6,1,0.43,4,junior,21,A,22,0
7,23,0.75,4,lead,2,C,53,1
15,19,0.49,6,senior,3,A,30,1
13,10,0.92,0,lead,17,E,14,0
1,6,0.51,3,mid,1,E,27,0
12,4,0.58,3,lead,19,D,28,0
14,10,0.54,0,lead,3,B,60,0
3,11,0.82,2,mid,19,A,38,1
4,29,0.75,10,senior,14,A,58,1
12,23,0.57,9,senior,28,C,37,0
15,7,0.71,9,mid,9,B,8,0
13,19,0.35,0,junior,30,B,11,1
1,19,0.54,9,senior,13,D,56,0
6,22,0.69,2,junior,30,B,7,1
11,7,0.68,4,junior,10,A,51,1
10,16,0.68,9,manager,17,D,5,0
1,9,0.85,8,senior,19,D,32,0
9,25,0.56,10,junior,24,D,44,0
4,19,0.34,10,senior,23,C,47,0
8,14,0.86,6,lead,13,C,59,1
9,30,0.45,9,senior,15,E,20,0
5,18,0.39,5,junior,7,A,36,1
8,28,0.86,9,manager,9,C,57,1
9,5,0.76,6,mid,13,B,27,0
6,13,0.65,4,lead,30,E,39,0
13,1,0.41,0,senior,1,C,14,0
3,5,0.94,9,mid,24,D,33,0
6,22,0.6,10,mid,5,D,45,0
7,12,0.76,1,junior,4,B,48,1
8,28,0.65,0,manager,12,A,11,1
13,16,0.45,9,lead,7,C,30,0
5,12,0.82,6,mid,10,E,32,1
5,4,0.69,10,senior,25,B,48,1
4,9,0.89,6,lead,23,A,32,1
5,29,0.95,0,senior,9,D,8,1
1,3,0.85,8,senior,19,C,10,0
4,29,0.93,2,manager,12,B,0,1
15,16,0.67,8,junior,7,B,60,1
8,5,0.56,7,manager,11,A,55,0
3,3,0.49,9,mid,28,A,3,1
15,26,0.37,0,lead,5,C,28,0
11,16,0.37,1,manager,18,C,37,0
6,2,0.64,5,junior,12,E,54,1
11,19,0.58,2,junior,4,C,9,1
15,17,0.53,0,manager,4,E,40,1
9,24,0.51,0,lead,1,D,26,1
13,0,0.73,2,junior,25,B,43,1
3,17,0.47,6,senior,10,D,29,0
11,14,0.31,5,lead,27,D,16,0
6,16,0.72,9,manager,5,B,25,0
2,21,0.78,5,mid,24,B,13,1
12,27,0.45,3,manager,16,A,3,1
7,8,0.66,2,senior,12,D,22,1
15,24,0.4,10,manager,29,A,9,1
1,12,0.74,1,lead,12,A,28,1
15,3,0.95,3,senior,11,A,11,0
8,1,0.7,2,senior,1,B,16,0
12,29,0.73,5,junior,28,C,4,1
1,1,0.58,2,lead,26,D,2,0
7,15,0.45,0,manager,13,D,11,1
5,15,0.88,3,lead,30,C,11,1
7,23,0.43,10,senior,7,D,32,0
14,24,0.38,4,senior,19,D,5,0
12,22,0.4,10,senior,10,A,45,1
4,17,0.39,2,mid,18,C,60,1
8,2,0.7,7,senior,21,A,38,0
7,16,0.75,9,lead,29,B,53,1
1,6,0.64,10,mid,13,C,29,0
15,29,0.54,1,lead,10,D,60,0
12,9,0.93,10,manager,15,B,17,0
11,25,0.46,3,mid,28,A,32,1
14,10,0.39,6,lead,18,D,17,0
4,19,0.85,1,manager,20,E,41,1
13,14,0.47,0,junior,4,A,48,1
3,29,0.81,3,senior,19,C,19,1
10,0,0.85,5,senior,2,A,22,0
5,19,0.83,10,manager,23,C,4,0
4,13,0.35,0,junior,16,E,32,0
2,30,0.91,1,junior,11,B,27,1
3,4,0.81,6,manager,13,D,30,1
15,16,0.69,1,senior,2,C,53,1
5,2,0.57,4,senior,9,C,17,0
11,3,0.57,1,lead,25,B,28,0
9,3,0.36,4,mid,3,E,30,0
6,6,0.33,6,lead,12,C,56,0
8,28,0.93,3,manager,23,B,3,1
10,23,0.69,2,lead,2,C,13,0
9,9,0.38,2,senior,12,C,24,1
10,25,0.91,2,senior,16,C,14,1
1,5,0.51,5,manager,3,A,27,1
6,2,0.64,7,mid,12,C,40,0
3,14,0.56,1,manager,26,A,57,1
3,24,0.92,3,senior,27,A,11,1
12,6,0.89,3,junior,26,C,48,1
6,6,0.88,5,mid,5,E,34,1
13,26,0.57,8,mid,3,C,26,0
6,29,0.6,5,junior,17,C,7,0
12,2,0.35,8,mid,9,E,21,0
10,7,0.69,0,mid,23,A,26,0
1,28,0.62,0,lead,5,C,18,1
1,4,0.44,10,lead,5,C,0,0
12,14,0.5,8,manager,16,C,38,0
12,9,0.43,5,mid,5,A,15,0
2,16,0.6,8,junior,20,B,20,0
5,19,0.42,7,senior,30,D,21,0
13,30,0.44,8,manager,4,E,28,0
1,19,0.43,6,senior,5,A,34,1
10,19,0.38,8,mid,11,A,37,1
1,21,0.88,5,manager,23,C,21,1
3,0,0.4,4,senior,10,B,25,0
1,28,0.83,8,lead,12,C,4,0
10,14,0.66,5,mid,28,A,37,1
8,30,0.64,7,senior,20,B,1,0
12,30,0.51,1,manager,21,C,6,1
8,18,0.66,1,manager,25,D,30,1
6,5,0.71,8,lead,23,B,34,0
9,0,0.82,4,lead,13,C,19,0
7,15,0.62,1,lead,14,D,53,1
2,19,0.42,2,mid,29,B,16,1
8,27,0.62,3,manager,20,B,50,1
11,28,0.69,5,mid,12,A,16,1
9,15,0.88,4,senior,8,E,20,1
8,23,0.92,8,mid,2,E,50,1
13,29,0.45,8,junior,2,B,31,0
4,26,0.32,4,mid,12,C,58,1
14,3,0.53,8,mid,10,C,15,0
4,5,0.58,5,manager,16,E,35,1
10,29,0.51,0,junior,8,D,18,0
15,5,0.39,9,junior,11,B,31,0
9,30,0.42,5,senior,28,E,41,0
7,27,0.59,2,manager,29,C,14,0
11,3,0.64,10,manager,12,E,5,0
7,2,0.54,5,manager,13,C,60,0
5,8,0.63,1,senior,22,B,22,0
12,0,0.31,8,manager,21,D,43,0
2,12,0.37,10,senior,24,A,59,1
1,14,0.69,3,senior,25,D,45,1
15,14,0.48,7,senior,7,D,23,0
12,13,0.78,0,mid,20,B,14,1
3,8,0.94,9,lead,5,A,19,1
3,24,0.84,8,junior,22,E,11,0
8,25,0.94,2,junior,26,D,9,1
10,4,0.65,0,lead,15,B,57,1
2,9,0.81,6,manager,16,E,39,1
9,12,0.3,2,senior,19,E,33,0
12,27,0.85,9,senior,24,D,20,0
3,30,0.84,7,junior,4,E,1,0
4,20,0.85,1,senior,17,C,0,1
7,16,0.76,1,senior,3,D,0,1
13,24,0.69,3,mid,21,B,34,0
2,22,0.91,1,mid,19,E,45,1
14,2,0.92,2,manager,3,B,60,1
8,22,0.68,9,junior,18,C,8,0
3,28,0.92,10,mid,23,E,32,0
10,6,0.82,4,mid,7,D,60,1
2,1,0.86,0,lead,10,A,55,1
6,16,0.95,6,junior,14,A,20,1
11,30,0.43,6,mid,10,B,39,1
15,30,0.92,7,junior,25,B,38,0
10,16,0.74,6,mid,20,B,10,1
2,4,0.78,5,mid,22,D,55,1
3,1,0.73,9,junior,14,A,41,1
1,2,0.49,9,lead,30,B,15,0
3,0,0.81,10,mid,26,B,8,0
2,13,0.53,6,manager,1,D,34,0
12,29,0.87,6,junior,28,A,41,1
14,20,0.68,9,manager,7,C,39,0
5,27,0.66,8,junior,4,C,11,0
14,10,0.7,4,manager,11,E,37,0
8,6,0.36,7,mid,4,B,19,0
8,6,0.78,9,junior,11,D,54,1
8,23,0.31,0,lead,12,C,24,0
5,28,0.37,4,lead,15,D,23,0
7,23,0.5,3,junior,8,B,21,1
12,15,0.56,6,manager,20,D,33,1
3,11,0.34,4,senior,19,E,10,1
1,10,0.66,2,senior,23,B,24,0
6,0,0.56,2,junior,29,B,51,0
2,11,0.68,10,lead,27,E,40,0
2,23,0.36,1,manager,29,C,17,1
4,14,0.58,4,mid,12,C,1,1
5,21,0.43,6,senior,9,D,31,0
4,0,0.77,0,manager,29,C,52,1
7,26,0.53,1,manager,8,C,31,0
8,25,0.59,1,lead,9,A,30,1
9,2,0.88,10,mid,13,C,42,1
14,24,0.65,8,manager,14,D,3,0
6,26,0.34,7,manager,25,B,44,0
2,21,0.39,7,senior,23,A,3,1
15,14,0.88,7,mid,30,D,39,0
7,25,0.78,9,junior,23,B,42,1
2,2,0.86,3,senior,19,E,29,1
8,29,0.64,5,lead,26,C,10,1
15,16,0.84,7,senior,16,C,39,0
6,23,0.83,8,mid,18,A,15,1
14,20,0.52,1,manager,10,A,50,1
4,0,0.59,7,junior,3,E,51,0
1,5,0.77,9,junior,22,B,32,0
3,4,0.55,3,manager,17,E,2,1
11,30,0.88,7,lead,23,C,18,0
12,9,0.58,3,mid,13,D,39,0
12,5,0.57,1,junior,12,C,48,0
8,16,0.37,5,manager,10,E,1,0
14,22,0.79,4,mid,10,A,7,1
15,1,0.61,4,mid,5,B,18,0
12,2,0.67,6,lead,25,D,49,1
13,30,0.34,3,manager,11,D,57,1
15,12,0.69,7,manager,24,B,22,0
11,26,0.91,7,senior,29,E,2,0
14,25,0.94,9,senior,4,D,31,0
10,27,0.41,0,lead,20,A,14,1
3,15,0.78,10,manager,9,A,51,1
5,4,0.9,2,senior,6,C,57,1
15,21,0.34,4,junior,27,E,20,0
12,21,0.79,3,lead,6,B,11,1
5,11,0.64,6,senior,4,E,37,1
4,0,0.82,1,senior,12,E,5,0
6,3,0.41,8,manager,25,B,19,0
7,24,0.82,10,manager,30,D,16,0
15,14,0.37,1,manager,16,C,59,0
10,29,0.77,4,lead,7,D,56,1
7,27,0.43,8,junior,24,C,48,0
13,16,0.43,8,junior,7,B,7,0
1,25,0.78,7,mid,12,B,36,0
11,17,0.72,10,manager,30,C,54,1
10,26,0.51,2,mid,6,A,45,1
15,10,0.47,10,lead,7,E,30,0
6,4,0.73,7,manager,16,D,44,1
3,27,0.45,6,lead,9,E,46,0
2,28,0.8,2,senior,9,D,44,1
11,13,0.94,5,junior,19,A,46,1
8,4,0.45,5,lead,3,A,29,0
3,10,0.88,10,manager,19,D,41,1
3,13,0.83,10,senior,28,D,51,1
15,13,0.9,4,junior,3,B,5,0
7,12,0.34,7,junior,15,B,47,0
6,21,0.64,8,mid,8,E,14,0
1,0,0.87,6,senior,28,B,46,1
11,12,0.69,6,manager,8,C,57,1
10,19,0.56,5,manager,3,D,51,1
15,25,0.35,0,lead,20,B,26,0
2,8,0.82,5,junior,4,C,22,1
12,16,0.68,7,junior,6,E,58,1
13,28,0.85,9,junior,15,C,54,1
8,9,0.57,6,manager,17,D,50,1
10,19,0.78,8,mid,6,E,8,0
9,1,0.6,4,manager,11,D,42,0
13,0,0.8,8,manager,11,E,35,0
10,2,0.6,4,senior,23,A,40,0
10,7,0.3,9,mid,7,C,20,0
3,7,0.51,8,junior,24,C,19,0
3,21,0.55,0,junior,8,A,58,1
7,14,0.6,9,senior,22,E,7,0
13,20,0.62,1,junior,8,A,46,1
8,28,0.87,4,mid,7,C,29,1
14,16,0.45,9,mid,1,A,13,1
10,28,0.82,7,lead,19,B,15,0
1,19,0.67,5,manager,27,A,45,1
4,9,0.41,0,senior,26,B,34,0
14,0,0.72,5,junior,24,E,56,1
9,23,0.33,0,senior,8,D,45,0
1,18,0.44,8,mid,12,D,8,0
10,14,0.44,1,manager,15,C,17,1
6,16,0.5,7,mid,23,C,52,0
1,16,0.87,8,lead,7,A,25,1
5,27,0.94,2,junior,2,A,60,1
12,25,0.89,1,mid,17,B,16,1
8,19,0.39,1,mid,2,E,21,0
15,4,0.92,1,senior,12,C,49,1
3,19,0.46,6,senior,30,A,15,1
6,5,0.81,3,junior,20,C,18,0
2,23,0.84,9,mid,3,B,52,1
9,11,0.59,7,junior,13,B,60,0
5,4,0.36,10,mid,11,C,20,0
14,13,0.73,9,manager,17,D,48,1
8,16,0.38,3,senior,29,B,1,1
5,23,0.91,10,senior,11,D,6,0
13,28,0.6,1,senior,29,B,54,0
2,20,0.86,0,mid,26,B,26,1
3,26,0.87,0,junior,17,A,45,1
1,13,0.8,0,manager,18,D,59,1
13,11,0.6,0,manager,2,B,18,0
8,21,0.37,7,lead,7,A,31,1
11,6,0.65,0,mid,6,D,3,0
13,2,0.63,8,junior,23,E,0,0
8,5,0.82,1,mid,10,B,31,0
14,13,0.77,2,junior,30,C,19,0
12,16,0.85,6,senior,16,C,34,1
4,7,0.64,1,mid,9,C,47,1
1,15,0.55,10,senior,26,E,4,0
1,25,0.38,9,lead,28,C,34,0
3,28,0.58,6,senior,2,E,17,1
15,22,0.63,4,lead,7,B,8,1
8,27,0.46,10,lead,28,B,36,0
13,16,0.45,0,manager,25,B,36,1
2,9,0.82,3,senior,24,E,51,1
6,29,0.86,4,manager,18,E,45,1
10,30,0.72,3,mid,10,A,46,1
12,14,0.66,8,lead,19,E,48,1
5,25,0.68,5,senior,17,B,42,1
8,12,0.93,8,lead,11,A,59,1
4,20,0.79,6,manager,21,E,14,1
11,23,0.79,4,mid,5,A,36,1
7,22,0.39,0,lead,14,A,38,1
9,15,0.83,4,junior,29,D,59,1
15,0,0.7,3,mid,10,B,21,0
7,18,0.87,1,manager,24,C,48,1
9,6,0.59,7,lead,16,E,37,0
2,11,0.84,5,junior,12,C,17,1
3,15,0.56,6,mid,6,D,49,1
13,1,0.66,2,junior,4,C,22,0
13,14,0.87,0,manager,22,D,21,1
11,30,0.69,4,manager,14,D,31,1
4,26,0.78,5,senior,14,B,31,1
12,17,0.37,6,lead,19,D,49,0
12,12,0.65,0,junior,12,B,5,0
9,9,0.32,9,lead,21,C,51,0
9,2,0.35,2,senior,22,E,41,0
9,18,0.35,3,lead,19,C,11,0
15,3,0.89,8,lead,5,B,56,1
3,14,0.33,8,senior,16,E,9,0
1,13,0.39,0,lead,26,C,58,1
8,5,0.75,9,junior,6,C,4,0
12,10,0.45,9,mid,15,D,28,0
7,17,0.32,8,junior,21,A,4,1
4,17,0.56,7,manager,11,D,58,0
12,2,0.55,9,manager,14,D,20,0
