customer_id,invoice_date,amount,credit_score,industry,month,paid_ratio_3,late_ratio_3,avg_delay_3,delay_trend,days_since_last_payment,is_default
CUST-01629,2023-03-30,26173.93,409,Tech,3,0.15,0.84,4.3,8,61,1
CUST-04465,2023-12-01,6764.06,570,Energy,12,0.63,0.42,4.2,3,55,0
CUST-03437,2024-01-17,8552.87,679,Tech,1,0.71,0.3,8.3,9,1,0
CUST-01806,2023-07-12,2592.04,599,Manufacturing,7,0.99,0.0,2.4,-11,81,1
CUST-03680,2024-02-02,5242.19,548,Energy,2,0.95,0.08,2.0,5,64,0
CUST-04828,2023-12-21,8855.0,820,Manufacturing,12,0.74,0.24,5.4,-5,62,1
CUST-02279,2024-02-12,3226.67,333,Retail,2,0.57,0.41,6.5,4,59,0
CUST-00054,2023-12-10,10944.13,527,Construction,12,0.25,0.77,17.5,8,65,1
CUST-01308,2023-12-04,5011.49,698,Services,12,0.45,0.54,7.3,-15,108,1
CUST-03463,2023-02-15,6416.61,519,Construction,2,0.63,0.33,5.5,-4,108,0
CUST-02788,2024-02-03,5007.21,670,Services,2,0.75,0.21,2.9,-10,13,0
CUST-02277,2023-08-26,35661.34,827,Energy,8,0.67,0.36,15.7,7,27,0
CUST-01274,2024-03-18,8016.06,374,Services,3,0.74,0.28,5.0,8,43,0
CUST-01764,2024-02-23,3476.67,435,Retail,2,0.49,0.5,3.9,4,120,1
CUST-02758,2023-11-29,15647.02,373,Energy,11,0.75,0.29,7.4,-4,59,0
CUST-00838,2023-07-15,3051.31,553,Services,7,0.23,0.76,16.5,9,20,1
CUST-00760,2023-05-21,9576.72,317,Construction,5,0.25,0.77,10.8,15,83,1
CUST-03113,2023-11-20,1689.63,342,Tech,11,0.25,0.79,11.7,-4,33,0
CUST-00793,2023-12-01,2800.21,349,Retail,12,0.9,0.13,4.8,-13,97,0
CUST-02941,2023-08-16,9485.21,814,Manufacturing,8,0.17,0.83,13.3,8,109,0
CUST-02818,2023-07-08,14629.18,602,Services,7,0.82,0.2,14.2,10,53,1
CUST-04946,2023-01-06,9293.72,441,Energy,1,0.31,0.68,11.7,-1,38,1
CUST-02167,2023-03-03,7387.03,501,Construction,3,0.52,0.49,15.1,15,3,1
CUST-00356,2023-03-01,6368.49,506,Tech,3,0.92,0.06,28.7,-5,106,0
CUST-03764,2023-02-12,2482.9,714,Healthcare,2,0.63,0.36,19.7,-6,27,0
CUST-04393,2023-03-04,4555.66,520,Energy,3,0.29,0.68,3.7,5,38,0
CUST-01023,2023-09-08,5605.42,661,Healthcare,9,0.36,0.59,4.2,12,64,0
CUST-03101,2023-11-25,18876.97,380,Services,11,0.93,0.08,15.4,5,44,0
CUST-00646,2023-12-09,10666.83,584,Retail,12,0.48,0.56,10.3,7,71,0
CUST-04523,2023-09-18,1977.46,668,Manufacturing,9,0.63,0.32,24.3,5,60,0
CUST-02402,2023-04-26,10501.43,791,Services,4,0.51,0.46,18.3,7,59,0
CUST-02963,2023-01-12,5954.69,645,Tech,1,0.44,0.56,5.4,0,15,0
CUST-04730,2023-10-28,4714.8,503,Healthcare,10,0.3,0.72,2.5,9,50,1
CUST-01576,2023-10-21,13218.08,324,Construction,10,0.72,0.25,15.0,-4,111,1
CUST-00570,2023-10-21,18486.57,368,Retail,10,0.75,0.21,4.8,0,44,1
CUST-00376,2023-09-03,17069.08,815,Manufacturing,9,0.35,0.65,6.3,-11,30,0
CUST-01867,2023-05-21,4140.72,791,Energy,5,0.81,0.22,4.8,2,6,0
CUST-02371,2023-12-22,6327.31,539,Construction,12,0.87,0.08,8.1,-6,118,1
CUST-00654,2024-01-17,10561.92,660,Healthcare,1,0.93,0.05,13.4,-10,50,0
CUST-01908,2023-02-18,17684.36,740,Tech,2,0.25,0.77,6.9,9,4,0
CUST-00828,2024-02-11,5522.91,330,Healthcare,2,0.37,0.59,9.0,13,65,1
CUST-03114,2023-10-31,6984.67,621,Manufacturing,10,0.87,0.1,7.4,13,40,0
CUST-02278,2023-04-03,3344.03,643,Energy,4,0.28,0.72,15.2,13,111,0
CUST-03715,2023-07-16,3112.04,835,Manufacturing,7,0.1,0.95,17.8,-2,116,0
CUST-02989,2023-09-05,15522.11,654,Construction,9,0.88,0.1,16.2,-2,67,1
CUST-01333,2023-11-27,23980.4,770,Services,11,0.39,0.61,23.5,-7,9,0
CUST-03033,2023-12-26,7649.47,404,Construction,12,0.47,0.52,2.3,12,98,0
CUST-02911,2023-08-11,18084.79,621,Construction,8,0.5,0.54,18.2,0,64,0
CUST-01717,2023-06-02,10821.7,826,Healthcare,6,0.86,0.1,5.7,-3,102,0
CUST-02188,2023-10-20,4836.29,803,Healthcare,10,0.4,0.61,6.5,-2,2,1
CUST-00585,2023-03-06,10819.62,384,Energy,3,0.9,0.13,1.3,5,42,0
CUST-04991,2023-02-20,27734.41,534,Manufacturing,2,0.66,0.39,12.1,-5,44,0
CUST-01402,2023-06-16,7874.14,562,Manufacturing,6,0.57,0.45,2.6,-14,25,0
CUST-04376,2023-02-02,28331.09,305,Energy,2,0.39,0.6,11.8,6,80,0
CUST-02006,2024-01-01,996.45,793,Tech,1,0.32,0.67,3.4,12,41,0
CUST-01339,2024-03-17,15638.98,588,Energy,3,0.66,0.33,11.3,4,71,0
CUST-03787,2024-02-12,8687.48,649,Energy,2,0.5,0.51,18.0,4,29,0
CUST-03109,2023-10-03,6379.18,499,Construction,10,0.92,0.1,10.9,13,71,1
CUST-02212,2023-04-05,8720.3,634,Healthcare,4,0.54,0.49,7.0,3,92,1
CUST-04563,2023-07-27,1652.34,516,Construction,7,0.56,0.43,8.8,-4,114,0
CUST-01800,2024-02-21,6797.18,652,Tech,2,0.48,0.54,2.3,1,114,0
CUST-02657,2023-12-25,10782.61,624,Tech,12,0.81,0.23,6.0,15,81,0
CUST-00459,2023-01-11,26431.59,527,Manufacturing,1,0.48,0.56,10.2,-7,23,0
CUST-01877,2023-07-21,5352.85,444,Tech,7,0.34,0.68,2.0,6,72,0
CUST-00263,2023-10-12,4243.76,607,Healthcare,10,0.88,0.13,0.9,10,83,0
CUST-02585,2024-02-23,5424.03,584,Tech,2,0.64,0.36,13.0,-5,115,1
CUST-03287,2023-10-02,16853.64,691,Retail,10,0.63,0.34,6.1,-4,43,0
CUST-02194,2024-02-06,10540.72,659,Retail,2,0.65,0.31,9.4,-13,12,0
CUST-00543,2024-02-20,5303.87,464,Retail,2,0.75,0.25,13.1,1,36,1
CUST-01729,2023-09-29,12217.37,523,Services,9,0.38,0.59,8.7,-10,18,1
CUST-04647,2023-09-08,8757.47,423,Retail,9,0.13,0.88,13.7,-12,4,1
CUST-02578,2023-02-02,17587.01,643,Tech,2,0.83,0.18,4.4,-3,35,0
CUST-01742,2023-09-23,4620.96,823,Retail,9,0.22,0.78,9.6,1,87,1
CUST-04090,2024-03-04,6234.6,351,Manufacturing,3,0.75,0.2,1.2,-6,116,1
CUST-03242,2023-10-27,5921.31,428,Tech,10,0.17,0.79,8.3,4,54,0
CUST-03759,2023-10-03,2512.89,434,Tech,10,0.44,0.52,2.7,15,51,0
CUST-01171,2024-01-01,10269.12,426,Healthcare,1,0.16,0.81,28.0,2,33,0
CUST-02170,2024-02-24,9985.05,370,Retail,2,0.57,0.48,6.3,-2,110,1
CUST-01144,2024-02-09,8136.3,572,Construction,2,0.69,0.29,3.9,0,7,0
CUST-02021,2023-11-30,6716.55,486,Energy,11,0.25,0.73,6.6,3,109,1
CUST-04599,2023-03-05,2611.56,302,Construction,3,0.43,0.53,6.7,10,3,1
CUST-04416,2024-01-21,5787.66,584,Healthcare,1,0.94,0.07,2.1,-1,107,1
CUST-02153,2024-01-21,6159.98,321,Construction,1,0.5,0.52,16.5,10,120,1
CUST-04789,2023-04-17,4264.92,465,Services,4,0.82,0.15,17.8,7,101,1
CUST-03510,2023-12-04,7122.2,609,Tech,12,0.93,0.11,27.8,7,71,0
CUST-04781,2023-03-02,11195.2,776,Healthcare,3,0.98,0.05,18.6,5,72,0
CUST-03272,2023-04-03,36641.94,797,Manufacturing,4,0.91,0.06,16.2,10,40,0
CUST-02966,2024-03-17,9317.62,733,Manufacturing,3,0.39,0.61,11.7,-3,111,0
CUST-01797,2023-11-03,9957.09,533,Manufacturing,11,0.97,0.03,10.9,-14,40,0
CUST-01134,2023-12-22,7634.58,675,Retail,12,0.83,0.15,7.7,13,118,0
CUST-04175,2023-04-03,1745.83,545,Healthcare,4,0.85,0.18,9.8,-7,30,1
CUST-04043,2023-01-03,7933.02,602,Healthcare,1,0.11,0.85,10.3,-3,94,1
CUST-00745,2023-10-12,8503.08,704,Healthcare,10,0.96,0.03,10.0,9,59,0
CUST-00386,2023-08-17,58139.1,320,Services,8,0.8,0.19,16.2,9,50,0
CUST-00899,2024-02-14,6947.32,556,Healthcare,2,0.79,0.21,4.0,6,39,0
CUST-01253,2023-06-10,10313.8,698,Services,6,0.17,0.87,11.1,-4,70,1
CUST-01311,2023-03-04,7881.16,828,Construction,3,0.31,0.66,6.6,-15,24,0
CUST-03459,2023-01-21,3181.34,350,Healthcare,1,0.97,0.0,12.3,12,76,0
CUST-04886,2023-03-07,20216.58,746,Tech,3,0.55,0.46,20.7,-3,68,0
CUST-00521,2023-10-22,14787.63,569,Manufacturing,10,0.46,0.51,11.1,6,60,0
CUST-03153,2023-04-16,15257.49,561,Healthcare,4,0.86,0.1,22.4,11,115,0
CUST-03127,2023-12-01,3914.68,664,Retail,12,0.18,0.81,18.8,-8,17,1
CUST-04882,2023-03-24,24890.35,348,Construction,3,0.48,0.49,15.8,-12,70,0
CUST-03835,2023-02-14,2639.96,817,Tech,2,0.44,0.55,14.5,6,37,0
CUST-04335,2023-10-15,12958.22,417,Manufacturing,10,0.41,0.57,4.0,-5,63,1
CUST-02060,2023-05-12,46740.42,752,Tech,5,0.38,0.58,10.0,8,53,0
CUST-04533,2024-03-11,3668.62,696,Construction,3,0.29,0.72,19.3,-10,105,1
CUST-00095,2024-01-21,5151.08,326,Retail,1,0.26,0.69,29.5,-3,78,1
CUST-00939,2023-01-18,8775.52,671,Retail,1,0.68,0.37,2.3,4,119,1
CUST-04399,2023-02-13,5416.58,396,Retail,2,0.93,0.05,1.7,7,48,0
CUST-02186,2023-03-05,2343.66,828,Energy,3,0.56,0.46,3.4,-11,44,0
CUST-02787,2023-09-17,8559.96,485,Energy,9,0.37,0.66,8.2,11,61,1
CUST-00914,2023-06-02,3463.92,514,Energy,6,0.24,0.74,32.4,-3,96,1
CUST-02405,2023-07-06,11835.68,550,Construction,7,0.85,0.17,8.4,11,51,0
CUST-03562,2023-10-06,3883.38,515,Manufacturing,10,0.97,0.06,6.2,1,30,1
CUST-01296,2023-03-29,27999.66,328,Tech,3,0.41,0.56,3.0,3,55,1
CUST-03717,2023-08-05,4330.32,401,Energy,8,0.36,0.69,8.7,3,116,1
CUST-00027,2023-12-03,6262.6,422,Manufacturing,12,0.64,0.31,38.8,-15,72,0
CUST-02158,2023-01-01,15534.42,353,Manufacturing,1,0.8,0.17,4.3,-12,18,1
CUST-04101,2023-05-08,3026.94,582,Healthcare,5,0.51,0.52,4.8,-14,69,0
CUST-01464,2023-06-03,9720.26,416,Manufacturing,6,0.67,0.3,15.4,-4,53,1
CUST-04159,2023-01-24,23056.76,413,Energy,1,0.74,0.28,20.3,10,99,1
CUST-00872,2023-09-23,2239.51,842,Healthcare,9,0.96,0.08,5.4,-15,95,1
CUST-02445,2024-02-05,9392.88,592,Energy,2,0.25,0.8,9.1,-4,27,0
CUST-04159,2023-05-31,9975.69,494,Construction,5,1.0,0.0,14.4,-3,58,1
CUST-04989,2023-12-04,15145.49,591,Manufacturing,12,0.45,0.6,9.0,-10,61,0
CUST-01630,2023-10-01,3012.24,560,Tech,10,0.75,0.24,13.5,-9,49,0
CUST-01253,2023-08-16,2817.58,506,Energy,8,0.62,0.35,16.1,13,37,0
CUST-03064,2023-03-13,12302.44,348,Construction,3,0.54,0.46,8.1,4,9,0
CUST-01324,2023-10-23,10276.22,305,Healthcare,10,0.73,0.28,6.4,-11,34,1
CUST-04419,2023-09-09,9901.03,678,Healthcare,9,0.46,0.54,2.3,-7,45,0
CUST-04345,2023-12-22,10691.01,693,Manufacturing,12,0.21,0.8,2.6,-3,23,0
CUST-00005,2023-06-10,4703.11,523,Healthcare,6,0.54,0.45,2.9,-2,97,0
CUST-04907,2023-09-25,9757.61,322,Construction,9,0.57,0.43,16.1,-8,114,1
CUST-02656,2023-06-30,10244.11,409,Energy,6,0.28,0.77,22.1,0,72,1
CUST-04003,2023-11-07,4575.72,698,Services,11,0.94,0.06,3.0,-2,90,0
CUST-00160,2023-10-03,36048.47,471,Energy,10,0.3,0.68,14.1,13,97,1
CUST-00917,2023-09-19,11837.96,605,Healthcare,9,0.47,0.56,2.8,2,78,1
CUST-02974,2023-04-18,3124.27,450,Tech,4,0.24,0.74,1.3,14,90,1
CUST-02520,2023-12-19,13701.26,727,Retail,12,0.58,0.45,28.4,-6,90,1
CUST-01962,2023-02-20,3715.45,766,Energy,2,0.38,0.58,3.3,3,31,0
CUST-00475,2023-12-06,15209.38,366,Energy,12,0.54,0.44,8.2,0,108,0
CUST-01974,2024-02-24,20473.29,455,Tech,2,0.3,0.66,1.1,-7,26,0
CUST-04648,2023-01-23,4202.58,505,Construction,1,0.15,0.81,15.8,5,25,0
CUST-00646,2023-05-02,17513.04,454,Manufacturing,5,0.8,0.22,6.9,-15,43,0
CUST-00702,2023-01-19,11273.66,808,Retail,1,0.68,0.31,9.2,-7,16,0
CUST-03982,2023-04-07,15640.96,373,Manufacturing,4,0.41,0.63,9.5,8,15,1
CUST-00567,2023-03-14,36954.19,348,Construction,3,0.14,0.86,3.4,10,98,1
CUST-04364,2023-06-03,6658.77,766,Tech,6,0.88,0.1,4.4,-2,25,0
CUST-01031,2024-03-14,4433.79,478,Retail,3,0.25,0.77,2.6,-9,101,1
CUST-01052,2024-03-02,3977.42,347,Tech,3,0.94,0.07,11.2,13,55,1
CUST-03894,2023-04-21,4218.99,371,Tech,4,0.53,0.5,9.2,7,93,1
CUST-04504,2023-03-10,7618.38,412,Services,3,0.41,0.6,8.3,8,105,1
CUST-01353,2023-11-05,10645.81,458,Services,11,0.77,0.2,14.3,-5,36,0
CUST-02172,2023-10-10,10110.73,329,Manufacturing,10,0.89,0.13,10.8,4,77,1
CUST-04323,2023-04-21,15705.19,396,Construction,4,0.43,0.56,7.4,-9,81,1
CUST-04970,2023-10-30,8187.81,550,Tech,10,0.47,0.53,14.6,8,91,1
CUST-03467,2023-07-03,25921.48,818,Healthcare,7,0.49,0.55,4.9,11,103,0
CUST-01736,2023-05-23,6556.91,391,Tech,5,0.93,0.06,2.2,-6,15,0
CUST-04418,2023-03-07,71405.87,412,Manufacturing,3,0.72,0.29,6.7,3,1,0
CUST-01648,2024-01-09,13366.86,558,Retail,1,0.32,0.67,4.7,-14,83,1
CUST-02554,2023-11-15,4081.72,406,Energy,11,0.27,0.69,18.6,-14,29,0
CUST-03269,2023-08-05,3440.2,689,Retail,8,0.31,0.69,14.0,7,72,1
CUST-03060,2023-02-08,11920.06,657,Healthcare,2,0.34,0.67,3.7,9,54,1
CUST-03589,2023-10-09,6776.59,498,Construction,10,0.31,0.68,3.2,14,62,1
CUST-04240,2023-05-11,14345.63,726,Healthcare,5,0.69,0.3,5.0,13,114,1
CUST-03699,2023-05-14,11832.32,777,Construction,5,0.2,0.83,7.7,0,63,0
CUST-00992,2023-07-15,7644.46,802,Energy,7,0.45,0.5,8.2,-4,64,0
CUST-02031,2023-11-29,4115.7,419,Services,11,0.66,0.32,4.9,-8,26,1
CUST-01841,2023-03-25,2411.78,608,Construction,3,0.36,0.67,9.8,10,117,1
CUST-00525,2023-07-24,5669.11,837,Construction,7,0.16,0.88,4.4,-6,8,0
CUST-02770,2023-08-22,16076.58,774,Retail,8,0.17,0.82,23.6,7,83,1
CUST-00173,2023-02-12,9616.88,643,Retail,2,0.21,0.83,7.0,-1,90,1
CUST-04820,2023-05-11,2991.14,435,Manufacturing,5,0.85,0.12,14.7,0,38,1
CUST-04538,2023-12-13,9307.21,576,Energy,12,0.69,0.28,15.8,9,34,1
CUST-01886,2023-08-06,11028.67,832,Energy,8,0.16,0.87,7.9,-12,32,0
CUST-04821,2023-12-22,3995.46,330,Services,12,0.45,0.59,5.4,10,12,0
CUST-01805,2023-03-15,9163.47,546,Tech,3,0.35,0.62,2.2,13,77,1
CUST-00059,2023-10-02,8489.34,710,Tech,10,0.62,0.34,4.1,15,52,1
CUST-00582,2023-04-15,3247.44,326,Tech,4,0.57,0.39,7.0,7,0,0
CUST-00483,2023-02-06,10788.43,372,Construction,2,0.53,0.45,4.0,-11,49,1
CUST-01876,2023-11-19,12690.74,396,Healthcare,11,0.38,0.65,6.0,1,70,1
CUST-00553,2024-01-11,19272.63,645,Healthcare,1,0.22,0.78,26.3,-6,46,0
CUST-00258,2023-05-18,18826.89,775,Energy,5,0.77,0.23,6.6,-12,96,0
CUST-02707,2023-11-21,2691.53,599,Healthcare,11,0.89,0.12,11.3,-15,117,0
CUST-00581,2023-12-23,3826.63,598,Healthcare,12,0.95,0.09,15.9,-15,102,0
CUST-04212,2023-11-27,12234.66,586,Services,11,0.15,0.81,24.4,-9,115,0
CUST-01950,2023-04-09,12222.44,748,Construction,4,0.77,0.25,12.0,-13,51,0
CUST-02282,2024-01-01,12234.78,511,Services,1,0.75,0.29,0.3,0,33,0
CUST-03977,2023-07-10,176695.85,375,Manufacturing,7,0.95,0.02,9.9,9,109,1
CUST-01756,2023-10-16,12793.75,700,Services,10,0.33,0.7,3.2,11,116,0
CUST-04418,2023-12-03,20099.55,333,Services,12,0.77,0.25,4.9,0,91,1
CUST-01084,2023-11-28,17382.19,797,Services,11,0.15,0.8,8.1,-1,6,0
CUST-04678,2024-02-25,13644.79,815,Services,2,0.67,0.3,15.6,7,45,0
CUST-04721,2023-09-19,6296.72,627,Tech,9,0.42,0.59,8.2,-5,115,1
CUST-03873,2023-11-06,14871.11,397,Manufacturing,11,0.79,0.21,3.7,6,87,1
CUST-01991,2023-03-25,4366.6,665,Energy,3,0.88,0.12,16.0,2,78,1
CUST-03875,2023-08-03,6704.57,762,Healthcare,8,0.43,0.54,3.8,5,23,1
CUST-03335,2024-02-25,5495.63,327,Energy,2,0.57,0.45,0.3,8,90,1
CUST-01560,2023-03-20,8651.6,685,Retail,3,0.21,0.77,5.0,4,38,1
CUST-00773,2023-06-11,51623.22,572,Manufacturing,6,0.48,0.51,4.0,14,61,0
CUST-00795,2024-02-08,1819.26,426,Healthcare,2,0.42,0.57,9.1,-8,66,0
CUST-03532,2023-08-11,14030.77,501,Services,8,0.26,0.76,15.4,9,73,1
CUST-02903,2023-07-14,2230.16,820,Services,7,0.91,0.05,3.8,8,75,0
CUST-03470,2023-01-14,5555.0,586,Construction,1,0.23,0.74,8.7,-10,40,1
CUST-03368,2023-11-06,19363.8,749,Services,11,0.67,0.3,20.4,2,28,0
CUST-03826,2023-05-07,8530.68,387,Energy,5,0.9,0.06,3.4,-8,71,0
CUST-00444,2023-02-09,3421.4,617,Manufacturing,2,0.92,0.05,9.6,4,73,0
CUST-00807,2023-05-19,4572.23,318,Retail,5,0.81,0.2,32.6,1,16,0
CUST-00497,2023-03-05,13956.19,406,Construction,3,0.26,0.76,10.9,13,8,1
CUST-03299,2023-09-30,4517.47,757,Construction,9,0.84,0.18,7.3,-11,118,0
CUST-02780,2023-02-26,9635.09,610,Retail,2,0.35,0.65,12.5,-13,105,1
CUST-00896,2023-12-17,8403.95,711,Manufacturing,12,0.93,0.03,15.4,3,14,0
CUST-02037,2023-10-08,4811.29,797,Services,10,0.74,0.31,9.3,-9,3,0
CUST-01570,2023-07-28,45033.2,543,Healthcare,7,0.81,0.16,26.1,-4,20,0
CUST-01559,2023-02-03,13455.39,679,Energy,2,0.18,0.84,6.2,-15,70,1
CUST-04394,2023-06-18,1603.41,814,Retail,6,0.62,0.42,4.6,-13,47,0
CUST-03676,2023-11-24,9406.57,506,Manufacturing,11,0.84,0.18,11.1,-6,7,0
CUST-01149,2023-02-15,4772.24,693,Energy,2,0.88,0.09,7.3,-10,45,0
CUST-03457,2023-07-05,16025.66,320,Manufacturing,7,0.13,0.85,19.1,0,83,1
CUST-01504,2023-06-20,4298.34,826,Manufacturing,6,0.95,0.0,16.8,-2,6,0
CUST-02282,2024-02-03,7392.42,642,Services,2,0.14,0.87,10.1,-8,109,1
CUST-03790,2023-05-20,12136.71,501,Services,5,0.65,0.36,12.7,-10,69,0
CUST-02047,2023-03-16,16197.37,419,Tech,3,0.72,0.3,6.0,15,8,0
CUST-00618,2024-03-20,3101.88,688,Construction,3,0.2,0.75,10.2,-5,77,0
CUST-03631,2024-02-13,6200.59,836,Energy,2,0.14,0.89,0.9,-12,47,0
CUST-04509,2023-04-26,5541.63,533,Services,4,0.81,0.21,20.5,-8,99,1
CUST-00803,2023-05-21,4804.64,619,Tech,5,0.45,0.51,11.3,10,51,0
CUST-00415,2023-01-06,33268.4,479,Manufacturing,1,0.2,0.78,12.3,-11,28,0
CUST-04429,2023-02-20,11203.54,667,Construction,2,0.79,0.22,8.1,-6,2,0
CUST-00121,2023-07-13,2955.11,375,Construction,7,0.86,0.14,9.6,6,108,0
CUST-00765,2023-04-24,16886.83,795,Healthcare,4,0.63,0.33,7.2,-4,30,0
CUST-01937,2023-07-13,44255.06,821,Energy,7,0.25,0.71,12.4,13,87,1
CUST-01363,2023-02-23,18508.26,500,Retail,2,0.11,0.92,7.9,1,62,0
CUST-03330,2024-02-05,2403.07,645,Energy,2,0.73,0.24,7.7,4,23,1
CUST-03979,2023-03-05,5500.6,782,Tech,3,0.6,0.37,0.5,-5,47,0
CUST-03944,2023-03-31,22326.48,518,Healthcare,3,0.69,0.34,10.6,4,99,1
CUST-01752,2023-09-27,4600.24,359,Services,9,0.83,0.18,12.0,12,34,0
CUST-03286,2024-01-08,11557.1,849,Construction,1,0.49,0.52,14.2,-4,117,0
CUST-00481,2024-03-24,15058.64,520,Manufacturing,3,0.21,0.79,12.3,5,24,1
CUST-01349,2023-06-06,3860.13,801,Construction,6,0.95,0.06,1.0,-4,55,0
CUST-03105,2023-10-29,7726.26,432,Retail,10,0.59,0.42,9.1,1,102,0
CUST-00018,2024-02-25,606.06,352,Services,2,0.65,0.4,8.1,4,118,1
CUST-03199,2024-02-18,3570.6,749,Tech,2,0.94,0.03,5.5,11,20,0
CUST-02173,2023-09-08,6620.63,361,Retail,9,0.94,0.03,16.9,7,14,1
CUST-03728,2023-02-18,2986.25,322,Tech,2,0.61,0.35,10.0,6,97,1
CUST-02337,2023-09-28,29909.43,343,Energy,9,0.37,0.65,17.1,10,72,1
CUST-03466,2023-06-28,2580.88,346,Manufacturing,6,1.0,0.0,1.7,-11,2,1
CUST-04553,2023-12-25,5698.54,323,Tech,12,0.71,0.25,5.8,11,120,1
CUST-03987,2023-10-20,8996.51,388,Manufacturing,10,0.47,0.52,0.7,1,9,1
CUST-01269,2024-03-19,25668.47,473,Retail,3,0.6,0.37,21.7,8,49,1
CUST-01556,2023-05-25,2569.1,418,Manufacturing,5,0.47,0.51,17.4,12,78,1
CUST-02431,2023-10-10,20548.25,477,Retail,10,0.9,0.15,24.3,-11,79,0
CUST-01784,2023-05-19,8169.69,641,Retail,5,0.53,0.49,19.4,14,12,0
CUST-00480,2023-11-08,3695.21,358,Energy,11,0.84,0.11,9.2,-3,43,0
CUST-04745,2023-02-20,11727.39,737,Energy,2,0.86,0.12,6.0,13,107,0
CUST-04442,2023-01-25,9501.91,727,Construction,1,0.84,0.11,12.7,-2,0,0
CUST-00500,2023-03-29,5013.18,725,Services,3,0.75,0.27,6.3,-8,46,0
CUST-02570,2023-06-12,8568.45,680,Energy,6,0.87,0.13,13.0,-2,54,0
CUST-00469,2024-01-20,5953.59,785,Services,1,0.45,0.6,6.4,11,32,0
CUST-00411,2023-07-19,8873.4,484,Manufacturing,7,0.2,0.82,15.3,-10,71,0
CUST-04786,2023-04-03,13762.52,759,Retail,4,0.86,0.14,3.8,-9,15,0
CUST-03906,2023-06-26,28819.67,401,Services,6,0.55,0.48,14.9,15,47,0
CUST-04120,2024-02-17,3010.16,314,Energy,2,0.21,0.81,2.9,10,34,0
CUST-04351,2024-01-15,44641.83,350,Healthcare,1,0.2,0.77,6.8,-6,50,1
CUST-01290,2023-12-14,1699.91,608,Energy,12,0.24,0.76,2.1,14,59,1
CUST-00466,2024-02-08,7176.53,333,Energy,2,0.78,0.23,7.2,1,77,1
CUST-04161,2023-09-30,12973.37,504,Healthcare,9,0.74,0.26,2.2,-10,104,0
CUST-00657,2023-10-10,10145.58,369,Energy,10,0.28,0.69,5.4,-13,90,1
CUST-01523,2023-11-01,4923.82,529,Construction,11,0.86,0.11,11.5,3,43,0
CUST-00562,2024-03-11,6860.27,779,Energy,3,0.35,0.63,6.0,3,47,0
CUST-04875,2023-07-26,5462.16,832,Services,7,0.81,0.14,5.1,6,0,0
CUST-00557,2023-09-02,5056.9,407,Healthcare,9,0.54,0.5,4.4,8,102,1
CUST-01927,2023-10-31,15989.41,540,Retail,10,0.76,0.26,3.3,12,113,1
CUST-03308,2023-03-07,10781.77,550,Manufacturing,3,0.44,0.58,3.2,-13,106,0
CUST-00983,2023-05-13,4654.88,434,Services,5,0.41,0.6,14.3,-13,93,0
CUST-04667,2023-01-05,16641.92,389,Tech,1,0.86,0.16,19.1,-11,34,1
CUST-02017,2023-12-18,10361.37,739,Services,12,0.13,0.92,8.3,-10,9,1
CUST-04743,2023-09-20,15526.29,597,Healthcare,9,0.98,0.01,17.3,-10,94,0
CUST-04871,2024-01-01,13409.29,706,Services,1,0.68,0.34,25.3,7,11,0
CUST-00326,2023-03-21,4174.73,607,Construction,3,0.49,0.5,7.3,13,103,0
