customer_id,amount_normalized,customer_age_normalized,invoice_frequency,credit_score_normalized,industry_risk_factor,seasonal_factor,is_bad_payer,amount,credit_score,industry,customer_age_months,payment_count,invoice_month,hist_paid_ratio,hist_late_ratio,hist_avg_delay_normalized,hist_payment_count_normalized
CUST-000031,0.00838,0.080925,0.5,0.583636,0.52,0.8531,0,42394.63,621,Tourism,20,195,6,0.7079,0.2539,0.2475,0.545
CUST-000032,0.00098,0.289017,0.5,0.616364,0.48,1.1468,0,5397.3,639,Food & Beverage,56,188,11,0.5743,0.2126,0.000667,0.38
CUST-000033,0.000747,0.618497,4.65,1.0,0.15,0.9629,0,4236.35,850,Education,113,125,5,0.9573,0.0424,0.021167,0.095
CUST-000034,0.001169,0.312139,3.64,0.589091,0.52,1.1679,0,6344.61,624,Tourism,60,100,12,0.6702,0.2745,0.0405,0.62
CUST-000035,0.001277,0.364162,1.26,0.729091,0.4,0.8397,0,6886.7,701,Logistics,69,1,6,0.8171,0.1566,0.109833,0.725
CUST-000036,0.012637,0.751445,12.64,0.518182,0.35,0.8322,1,63677.18,585,Manufacturing,136,121,7,0.5535,0.3204,0.178,0.275
CUST-000037,0.0007,0.289017,3.28,0.689091,0.48,0.9273,0,3997.57,679,Food & Beverage,56,89,9,0.713,0.1778,0.044917,0.2
CUST-000038,0.094833,0.774566,4.36,0.592727,0.52,0.8437,0,474615.37,626,Tourism,140,20,8,0.7022,0.2465,0.31275,0.265
CUST-000039,0.002771,0.115607,1.9,0.56,0.18,0.9099,0,14351.15,608,Healthcare,26,17,5,0.6139,0.256,0.19575,0.01
CUST-000040,0.112843,0.416185,10.18,0.965455,0.3,0.8114,0,564659.67,831,Real Estate,78,177,7,0.7795,0.0995,0.033583,0.045
CUST-000041,0.00379,0.959538,1.29,0.849091,0.25,0.8282,0,19449.7,767,Telecom,172,150,8,0.7006,0.1164,0.020167,0.425
CUST-000042,0.000126,0.098266,5.53,0.66,0.35,0.9386,0,1127.54,663,Manufacturing,23,114,1,0.6921,0.2197,0.073833,0.525
CUST-000043,0.001144,0.757225,0.5,0.216364,0.22,0.8311,1,6221.22,419,Finance,137,161,8,0.4767,0.476,0.348583,0.88
CUST-000044,0.012734,0.508671,3.09,0.569091,0.2,1.1376,0,64162.73,613,Technology,94,26,11,0.6401,0.2422,0.143167,0.075
CUST-000045,0.000448,0.34104,3.45,1.0,0.18,0.8458,1,2739.77,850,Healthcare,65,27,7,0.9141,0.0448,0.022417,0.985
CUST-000046,0.00397,0.075145,0.83,0.592727,0.5,1.115,1,20348.93,626,Agriculture,19,188,11,0.6525,0.2428,0.04525,0.2
CUST-000047,0.008774,0.046243,1.56,0.836364,0.18,1.145,0,44363.31,760,Healthcare,14,162,12,0.843,0.1355,0.061583,0.45
CUST-000048,0.009251,0.514451,0.79,0.898182,0.4,1.1756,1,46751.66,794,Logistics,95,87,12,0.7826,0.1464,0.076,0.95
CUST-000049,0.013716,0.300578,7.46,0.674545,0.25,0.8738,0,69073.65,671,Telecom,58,80,2,0.5783,0.2205,0.174083,0.125
CUST-000050,0.006963,0.745665,4.28,0.481818,0.3,0.8887,0,35312.52,565,Real Estate,135,180,2,0.6475,0.3264,0.269417,0.635
CUST-000051,0.000491,0.479769,2.37,0.192727,0.2,1.1883,0,2955.21,406,Pharmaceuticals,89,55,12,0.4016,0.4351,0.42325,0.495
CUST-000052,0.002452,0.526012,3.25,0.76,0.15,0.9062,0,12758.14,718,Education,97,61,6,0.7328,0.167,0.161583,0.475
CUST-000053,0.004415,0.635838,1.69,0.487273,0.4,1.0342,0,22572.26,568,Logistics,116,178,3,0.5736,0.2958,0.335,0.425
CUST-000054,0.010633,0.988439,2.24,0.667273,0.3,0.9476,1,53657.36,667,Real Estate,177,191,1,0.6631,0.2692,0.121833,0.47
CUST-000055,0.000917,0.040462,3.86,0.409091,0.52,0.7543,0,5084.35,525,Tourism,13,192,8,0.5903,0.3499,0.065667,0.915
CUST-000056,0.003958,0.196532,0.95,0.587273,0.2,0.8235,1,20286.69,623,Pharmaceuticals,40,14,7,0.5915,0.2888,0.158167,0.855
CUST-000057,0.202839,0.462428,0.58,0.641818,0.48,0.9657,1,1014594.68,653,Food & Beverage,86,126,4,0.7489,0.2294,0.10775,0.055
CUST-000058,0.028265,0.942197,11.56,0.683636,0.2,0.9666,0,141810.18,676,Technology,169,109,1,0.6643,0.2656,0.126917,0.055
CUST-000059,0.025612,0.283237,1.08,0.432727,0.35,0.857,1,128548.55,538,Manufacturing,55,122,2,0.5712,0.3762,0.064,0.08
CUST-000060,0.003826,0.595376,2.73,0.852727,0.18,0.8901,0,19628.82,769,Healthcare,109,51,9,0.8384,0.1258,0.02625,0.81
CUST-000061,0.006334,0.757225,5.73,0.527273,0.15,1.006,0,32167.37,590,Education,137,113,4,0.685,0.2661,0.0965,0.44
CUST-000062,0.004452,0.00578,3.25,0.330909,0.25,0.9693,0,22757.63,482,Telecom,7,155,3,0.5422,0.4292,0.17375,0.29
CUST-000063,0.011448,0.768786,4.03,0.616364,0.4,0.8374,0,57735.58,639,Logistics,139,168,8,0.6933,0.2542,0.207,0.915
CUST-000064,0.000273,0.306358,0.71,0.641818,0.2,0.9303,1,1864.54,653,Technology,59,68,4,0.6688,0.2473,0.157667,0.485
CUST-000065,0.000795,0.606936,2.01,0.665455,0.5,0.8152,0,4472.67,666,Agriculture,111,9,7,0.7479,0.183,0.131583,0.525
CUST-000066,0.000165,0.017341,4.69,0.883636,0.35,0.914,0,1326.35,786,Manufacturing,9,184,5,0.7826,0.0908,0.050917,0.695
CUST-000067,0.019543,0.306358,0.94,0.592727,0.2,0.9562,0,98204.05,626,Technology,59,39,5,0.6937,0.2334,0.028083,0.805
CUST-000068,0.018784,0.83815,2.64,0.614545,0.2,1.1012,0,94411.08,638,Pharmaceuticals,151,143,11,0.626,0.2488,0.149417,0.51
CUST-000069,0.001104,0.248555,3.56,0.434545,0.18,0.8798,0,6017.78,539,Healthcare,49,89,6,0.4986,0.3818,0.269417,0.51
CUST-000070,0.000978,0.930636,6.23,0.785455,0.5,1.2133,0,5388.14,732,Agriculture,167,18,12,0.7479,0.1751,0.06275,0.17
CUST-000071,0.019002,0.075145,0.98,0.669091,0.48,0.9796,0,95501.66,668,Food & Beverage,19,52,4,0.7681,0.1756,0.04025,0.115
CUST-000072,0.018121,0.543353,15.28,0.558182,0.28,0.9173,1,91095.54,607,Energy,100,189,2,0.6046,0.2854,0.059417,0.44
CUST-000073,0.113412,0.271676,13.7,0.289091,0.15,0.8847,0,567504.02,459,Education,53,37,6,0.4108,0.4087,0.213417,0.07
CUST-000074,0.00075,0.080925,0.5,0.898182,0.3,0.9369,1,4247.53,794,Real Estate,20,80,5,0.8055,0.103,0.01675,0.855
CUST-000075,0.003407,0.225434,1.84,0.412727,0.22,0.9818,0,17533.39,527,Finance,45,181,3,0.3928,0.4072,0.242333,0.07
CUST-000076,0.005557,0.468208,0.5,0.527273,0.15,0.9246,0,28281.06,590,Education,87,140,4,0.6237,0.3664,0.224333,0.785
CUST-000077,0.013562,0.635838,1.53,0.7,0.52,1.0207,0,68303.75,685,Tourism,116,153,3,0.7025,0.2126,0.106667,0.305
CUST-000078,0.030389,0.300578,3.74,0.418182,0.52,0.9812,0,152431.11,530,Tourism,58,79,3,0.5582,0.3053,0.129167,0.115
CUST-000079,0.003374,0.132948,3.75,0.363636,0.3,0.9283,0,17368.24,500,Real Estate,29,25,4,0.504,0.3505,0.295583,0.315
CUST-000080,0.006736,0.884393,0.5,0.249091,0.4,0.8943,0,34176.37,437,Logistics,159,149,2,0.4089,0.4176,0.67025,0.89
CUST-000081,0.002251,0.710983,4.52,0.767273,0.48,0.8982,0,11754.56,722,Food & Beverage,129,122,4,0.8068,0.1843,0.114333,0.51
CUST-000082,0.000147,0.231214,7.49,0.536364,0.3,1.0304,0,1235.91,595,Real Estate,46,88,10,0.5602,0.2753,0.21875,0.3
CUST-000083,0.000711,0.901734,3.99,1.0,0.48,1.0779,0,4056.18,850,Food & Beverage,162,135,11,0.9753,0.0247,0.012333,0.05
CUST-000084,0.001627,0.080925,1.48,0.454545,0.2,0.9739,1,8635.15,550,Technology,20,177,2,0.64,0.3055,0.225417,0.075
CUST-000085,0.013405,0.254335,0.5,0.467273,0.25,1.0725,0,67519.87,557,Telecom,50,39,10,0.4222,0.31,0.098667,0.27
CUST-000086,0.0,0.369942,4.18,0.532727,0.15,0.8074,0,500.0,593,Education,70,75,8,0.6103,0.267,0.193083,0.995
CUST-000087,0.013856,0.508671,4.53,0.68,0.15,1.027,0,69773.8,674,Education,94,97,10,0.6892,0.1868,0.038583,0.275
CUST-000088,0.014014,0.404624,4.93,0.549091,0.18,0.8469,1,70562.46,602,Healthcare,76,49,5,0.6555,0.2769,0.058333,0.62
CUST-000089,0.001667,0.046243,0.5,0.747273,0.15,0.7561,0,8833.4,711,Education,14,162,7,0.7476,0.1475,0.211,0.025
CUST-000090,0.198415,0.50289,2.91,0.458182,0.2,1.0502,0,992476.57,552,Technology,93,144,11,0.4789,0.3789,0.249917,0.14
CUST-000091,0.007218,0.739884,2.13,0.383636,0.28,0.9207,1,36588.37,511,Energy,134,96,4,0.5754,0.3488,0.085167,0.43
CUST-000092,0.00703,0.780347,5.83,0.309091,0.5,1.0497,1,35644.26,470,Agriculture,141,143,10,0.5217,0.4459,0.557333,0.805
CUST-000093,0.003084,0.358382,5.13,0.230909,0.18,0.8444,0,15920.12,427,Healthcare,68,40,6,0.4594,0.4778,0.15675,0.555
CUST-000094,1.4e-05,0.797688,12.04,0.541818,0.5,1.1232,0,568.83,598,Agriculture,144,7,12,0.622,0.3071,0.245417,0.405
CUST-000095,0.001099,0.462428,9.11,0.58,0.48,1.0485,0,5992.86,619,Food & Beverage,86,101,10,0.5739,0.276,0.113167,0.49
CUST-000096,0.000805,0.780347,3.27,0.52,0.5,0.907,1,4522.16,586,Agriculture,141,40,4,0.6085,0.3342,0.07725,0.355
CUST-000097,0.016386,0.936416,15.74,0.861818,0.45,0.8633,0,82424.02,774,Retail,168,194,6,0.8147,0.1392,0.095917,0.4
CUST-000098,0.001436,0.936416,0.65,0.858182,0.3,0.9729,1,7679.88,772,Real Estate,168,70,1,0.8338,0.1226,0.037917,0.18
CUST-000099,0.007948,0.184971,0.5,0.574545,0.35,0.8648,0,40234.83,616,Manufacturing,38,103,6,0.6446,0.2889,0.236333,0.3
CUST-000100,7.2e-05,0.705202,0.5,0.309091,0.25,0.8828,0,861.27,470,Telecom,128,92,6,0.355,0.4104,0.376083,0.405
CUST-000101,0.067377,0.023121,1.75,0.532727,0.48,0.8545,0,337352.35,593,Food & Beverage,10,22,2,0.627,0.2877,0.206083,0.02
CUST-000102,0.018316,0.231214,5.63,0.527273,0.2,1.1512,1,92069.28,590,Technology,46,101,12,0.6616,0.267,0.1175,0.535
CUST-000103,0.004092,0.156069,1.93,0.516364,0.48,1.0214,0,20957.95,584,Food & Beverage,33,187,10,0.6904,0.3096,0.164833,0.415
CUST-000104,0.001577,0.774566,6.07,0.509091,0.5,1.0154,1,8385.78,580,Agriculture,140,133,10,0.5368,0.3244,0.21825,0.645
CUST-000105,0.023219,0.410405,5.43,0.516364,0.35,0.8576,0,116584.18,584,Manufacturing,77,146,9,0.5805,0.2871,0.221833,0.79
CUST-000106,0.001465,0.063584,6.33,0.565455,0.2,0.9244,0,7826.08,611,Pharmaceuticals,17,11,6,0.5867,0.3153,0.204917,0.98
CUST-000107,0.001441,0.930636,0.83,0.52,0.2,1.1773,1,7706.76,586,Technology,167,119,12,0.5582,0.3785,0.5555,0.59
CUST-000108,0.002686,0.184971,2.9,0.672727,0.15,1.1487,0,13928.44,670,Education,38,8,11,0.6085,0.2441,0.05925,0.795
CUST-000109,0.082143,0.271676,4.99,0.701818,0.48,0.8106,0,411172.92,686,Food & Beverage,53,20,7,0.6647,0.19,0.120667,0.075
CUST-000110,0.001155,0.867052,1.34,0.469091,0.3,0.8752,1,6275.13,558,Real Estate,156,59,2,0.5435,0.3999,0.228833,0.155
CUST-000111,0.017084,0.352601,7.28,0.867273,0.4,0.9202,1,85909.69,777,Logistics,67,91,2,0.7893,0.2107,0.12125,0.445
CUST-000112,0.000846,0.208092,6.04,0.456364,0.15,0.9703,1,4728.12,551,Education,42,153,2,0.4507,0.283,0.013667,0.49
CUST-000113,0.0,0.566474,0.51,0.341818,0.15,1.0657,1,500.0,488,Education,104,186,10,0.5692,0.388,0.197583,0.5
CUST-000114,0.009594,0.988439,0.98,0.705455,0.52,1.0966,0,48467.69,688,Tourism,177,115,11,0.7866,0.181,0.097167,0.84
CUST-000115,0.000679,0.595376,1.08,0.487273,0.45,0.9081,1,3896.04,568,Retail,109,19,9,0.5999,0.3074,0.221333,0.275
CUST-000116,0.002337,0.196532,8.43,0.694545,0.4,1.0335,1,12181.74,682,Logistics,40,125,3,0.6287,0.1734,0.092167,0.03
CUST-000117,0.023573,0.578035,0.83,0.198182,0.55,0.9495,1,118351.01,409,Construction,106,130,4,0.3578,0.4601,0.373417,0.04
CUST-000118,0.000614,0.751445,3.89,0.889091,0.4,0.9465,0,3570.52,789,Logistics,136,106,1,0.8145,0.0765,0.084083,0.58
CUST-000119,0.00182,0.0,0.5,0.758182,0.45,0.9297,0,9597.33,717,Retail,6,186,1,0.7921,0.1535,0.126833,0.14
CUST-000120,0.015835,0.023121,3.22,0.361818,0.28,0.9606,1,79668.68,499,Energy,10,66,4,0.5499,0.3463,0.5315,0.04
CUST-000121,0.001666,0.815029,0.61,0.367273,0.22,0.8619,0,8828.01,502,Finance,147,7,2,0.5824,0.3916,0.097833,0.855
CUST-000122,0.005144,0.589595,3.43,0.94,0.52,0.8085,1,26219.15,817,Tourism,108,51,8,0.7004,0.0465,0.039417,0.08
CUST-000123,0.003188,0.150289,1.83,0.501818,0.52,0.9461,1,16439.79,576,Tourism,32,95,4,0.6059,0.3769,0.292,0.99
CUST-000124,0.003204,0.786127,3.72,0.483636,0.35,0.9682,1,16519.78,566,Manufacturing,142,161,3,0.6424,0.3576,0.222333,0.51
CUST-000125,0.002806,0.080925,2.01,0.223636,0.45,0.9993,1,14528.97,423,Retail,20,75,3,0.3761,0.4722,0.105167,0.535
CUST-000126,0.01067,0.514451,7.7,0.570909,0.2,0.8786,1,53845.95,614,Pharmaceuticals,95,104,6,0.5767,0.3012,0.059667,0.485
CUST-000127,0.0,0.236994,5.66,0.594545,0.25,1.1935,0,500.0,627,Telecom,47,13,12,0.6117,0.3317,0.2115,0.845
CUST-000128,0.002483,0.710983,7.45,0.765455,0.22,0.8429,1,12914.33,721,Finance,129,138,6,0.8135,0.1865,0.055417,0.795
CUST-000129,0.000813,0.358382,1.0,0.381818,0.2,0.8363,0,4564.26,510,Pharmaceuticals,68,113,6,0.4484,0.3814,0.04475,1.0
CUST-000130,0.017038,0.549133,0.64,0.358182,0.18,0.8422,1,85679.8,497,Healthcare,101,59,6,0.5222,0.3858,0.07675,0.89
CUST-000131,0.047677,0.294798,3.26,0.718182,0.15,0.8388,0,238863.14,695,Education,57,38,8,0.6606,0.2573,0.081167,0.02
CUST-000132,0.004133,0.549133,8.25,0.818182,0.55,0.8013,0,21162.97,750,Construction,101,20,8,0.7544,0.1625,0.12075,0.905
CUST-000133,0.003059,0.757225,0.5,0.349091,0.45,0.8812,0,15795.53,492,Retail,137,14,9,0.5212,0.3873,0.199083,0.21
CUST-000134,0.01187,0.867052,1.07,0.832727,0.3,0.9581,0,59843.22,758,Real Estate,156,40,1,0.7822,0.1553,0.066833,0.04
CUST-000135,0.005577,0.820809,5.48,0.641818,0.2,1.0656,1,28381.0,653,Pharmaceuticals,148,135,10,0.6816,0.2291,0.069583,0.84
CUST-000136,0.003112,0.982659,2.5,0.834545,0.55,0.826,0,16059.22,759,Construction,176,197,8,0.8123,0.1242,0.095083,0.705
CUST-000137,0.007035,0.16185,3.7,0.621818,0.18,0.9237,0,35671.08,642,Healthcare,34,6,5,0.5951,0.2233,0.250417,0.81
CUST-000138,0.00215,0.202312,3.58,0.176364,0.2,0.9855,0,11249.64,397,Technology,41,168,3,0.4264,0.536,0.050083,0.985
CUST-000139,0.018436,0.069364,2.13,0.607273,0.2,1.1006,0,92670.27,634,Pharmaceuticals,18,181,11,0.5375,0.277,0.132083,0.53
CUST-000140,0.145947,0.919075,4.89,0.829091,0.3,0.9785,1,730164.15,756,Real Estate,165,9,10,0.8447,0.1386,0.049583,0.085
CUST-000141,0.003016,0.404624,7.65,0.472727,0.28,1.0465,0,15580.94,560,Energy,76,106,3,0.6131,0.3547,0.302083,0.145
CUST-000142,0.010277,0.491329,9.53,0.565455,0.2,0.8548,0,51878.84,611,Technology,91,65,6,0.6429,0.2616,0.21475,0.72
CUST-000143,0.0,0.156069,0.5,0.603636,0.5,0.8831,1,500.0,632,Agriculture,33,148,8,0.687,0.313,0.026083,0.64
CUST-000144,3.6e-05,0.375723,3.23,0.109091,0.3,1.0887,0,678.03,360,Real Estate,71,134,10,0.2509,0.4532,0.4065,0.225
CUST-000145,0.006741,0.976879,0.5,0.94,0.55,0.8755,0,34203.85,817,Construction,175,96,2,0.9327,0.0673,0.040083,0.59
CUST-000146,0.001998,0.254335,9.25,0.470909,0.3,1.1391,0,10491.18,559,Real Estate,50,39,12,0.5893,0.2893,0.13375,0.23
CUST-000147,0.00094,0.352601,2.24,0.727273,0.55,0.8669,0,5199.31,700,Construction,67,123,9,0.8088,0.1912,0.164833,0.765
CUST-000148,0.010692,0.768786,9.23,0.62,0.35,0.8999,0,53956.03,641,Manufacturing,139,21,5,0.5587,0.2406,0.144167,0.05
CUST-000149,0.002362,0.156069,0.83,0.863636,0.28,0.8731,0,12308.57,775,Energy,33,37,5,0.9076,0.0924,0.058583,0.91
CUST-000150,0.010605,0.156069,0.71,0.709091,0.25,0.9223,0,53518.26,690,Telecom,33,12,1,0.7362,0.1524,0.074083,0.45
CUST-000151,0.005555,0.618497,9.56,0.592727,0.52,0.8189,0,28269.91,626,Tourism,113,198,6,0.5877,0.2776,0.307083,0.065
CUST-000152,0.019594,0.248555,11.15,0.472727,0.5,1.1264,1,98459.48,560,Agriculture,49,15,11,0.5674,0.2834,0.025583,0.96
CUST-000153,0.003286,0.479769,5.82,0.78,0.52,1.0514,0,16928.89,729,Tourism,89,149,11,0.7714,0.1196,0.115167,0.19
CUST-000154,0.004133,0.16763,1.0,0.294545,0.2,0.9868,0,21165.05,462,Technology,35,85,5,0.4668,0.3809,0.087083,0.52
CUST-000155,0.002371,0.427746,0.75,0.752727,0.5,0.7903,1,12351.76,714,Agriculture,80,92,7,0.6646,0.186,0.008917,0.5
CUST-000156,0.001629,0.734104,5.51,0.436364,0.48,0.8404,1,8642.54,540,Food & Beverage,133,100,7,0.6003,0.3845,0.3355,0.81
CUST-000157,0.010608,0.526012,4.03,0.863636,0.18,0.9211,0,53534.56,775,Healthcare,97,174,4,0.7274,0.1211,0.060417,0.785
CUST-000158,0.000577,0.739884,8.23,0.665455,0.3,0.9433,0,3386.77,666,Real Estate,134,199,5,0.6933,0.224,0.125833,0.7
CUST-000159,0.036125,0.693642,1.3,0.752727,0.55,1.0059,0,181107.83,714,Construction,126,109,10,0.7137,0.146,0.0675,0.475
CUST-000160,0.000521,0.150289,1.4,0.650909,0.18,0.7758,1,3105.85,658,Healthcare,32,86,8,0.6347,0.2912,0.188667,0.39
CUST-000161,0.00218,0.693642,5.26,0.316364,0.28,0.9328,1,11400.82,474,Energy,126,138,2,0.4701,0.4155,0.326333,0.505
CUST-000162,0.00183,0.66474,1.25,0.478182,0.22,0.9463,0,9650.66,563,Finance,121,82,1,0.6294,0.3196,0.230917,0.14
CUST-000163,0.013686,0.011561,2.48,0.758182,0.4,0.8441,0,68920.82,717,Logistics,8,66,6,0.6742,0.1713,0.114,0.165
CUST-000164,0.050731,0.589595,2.94,0.665455,0.5,1.0699,0,254128.23,666,Agriculture,108,118,11,0.7077,0.2332,0.114917,0.535
CUST-000165,0.008102,0.890173,4.42,0.850909,0.3,0.9239,0,41007.26,768,Real Estate,160,117,4,0.8963,0.1037,0.0575,0.65
CUST-000166,0.097634,0.786127,1.69,0.709091,0.45,1.0021,0,488622.99,690,Retail,142,167,10,0.8018,0.1982,0.209917,0.265
CUST-000167,0.001,0.352601,7.82,0.46,0.25,0.9843,1,5498.73,553,Telecom,67,22,3,0.5905,0.297,0.23775,0.445
CUST-000168,0.002475,0.947977,2.06,0.490909,0.25,0.8077,0,12876.24,570,Telecom,170,86,7,0.4766,0.3743,0.2615,0.465
CUST-000169,0.000174,0.289017,0.5,0.654545,0.52,0.8224,0,1372.41,660,Tourism,56,170,8,0.7212,0.2145,0.066,0.44
CUST-000170,0.000377,0.988439,0.5,0.214545,0.15,1.1027,0,2382.87,418,Education,177,134,11,0.4046,0.5001,0.3785,0.975
CUST-000171,0.028222,0.872832,14.24,0.94,0.48,1.0884,0,141598.32,817,Food & Beverage,157,110,12,0.6852,0.0622,0.037167,0.45
CUST-000172,0.00284,0.33526,3.89,0.716364,0.5,0.9559,0,14699.23,694,Agriculture,64,180,4,0.7463,0.1629,0.049417,0.985
CUST-000173,0.001604,0.676301,2.7,0.858182,0.35,1.1404,1,8521.32,772,Manufacturing,123,165,12,0.7439,0.1935,0.087333,0.775
CUST-000174,0.000643,0.919075,8.15,0.347273,0.55,1.1264,0,3712.42,491,Construction,165,6,12,0.5733,0.3663,0.101667,0.69
CUST-000175,0.017091,0.549133,5.05,0.861818,0.55,1.0129,0,85944.42,774,Construction,101,73,10,0.6874,0.1616,0.153583,0.075
CUST-000176,0.001833,0.647399,0.8,1.0,0.4,1.1699,0,9664.04,850,Logistics,118,157,12,0.8324,0.0509,0.025417,0.815
CUST-000177,0.000338,0.352601,0.5,0.394545,0.4,1.0362,0,2188.78,517,Logistics,67,101,11,0.5296,0.353,0.139083,0.79
CUST-000178,0.004531,0.294798,16.1,0.776364,0.48,1.063,0,23152.37,727,Food & Beverage,57,197,11,0.7372,0.178,0.043917,0.43
CUST-000179,0.012087,0.063584,3.97,0.636364,0.2,0.8544,0,60930.24,650,Pharmaceuticals,17,179,6,0.6429,0.2775,0.32225,0.395
CUST-000180,0.003076,0.219653,2.59,0.354545,0.2,1.0846,1,15878.45,495,Pharmaceuticals,44,77,11,0.5827,0.3641,0.082917,0.85
CUST-000181,0.001437,0.745665,11.58,0.725455,0.3,1.1113,0,7684.17,699,Real Estate,135,27,11,0.683,0.1887,0.023083,0.88
CUST-000182,0.004853,0.751445,1.84,0.787273,0.2,0.9029,0,24761.35,733,Technology,136,165,2,0.7349,0.1966,0.080083,0.46
CUST-000183,0.000187,0.647399,5.13,0.525455,0.5,0.7996,0,1434.21,589,Agriculture,118,174,8,0.7134,0.2866,0.184,0.505
CUST-000184,0.016082,0.578035,4.44,0.847273,0.25,0.7992,1,80901.83,766,Telecom,106,98,6,0.8047,0.1404,0.020583,0.045
CUST-000185,0.009225,0.647399,4.52,0.332727,0.25,1.1226,0,46622.25,483,Telecom,118,25,11,0.5009,0.3774,0.36675,0.665
